task_id,sweep,N,alpha,t,method,variant,out_dir,log_file
A_alpha__n1000000__a1__t100000__ours__adaptive,A_alpha,1000000,1,100000,ours,adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a1__t100000__ours__adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a1__t100000__ours__adaptive.log
A_alpha__n1000000__a1__t100000__range_tree__enum_sampling,A_alpha,1000000,1,100000,range_tree,enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a1__t100000__range_tree__enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a1__t100000__range_tree__enum_sampling.log
A_alpha__n1000000__a1__t100000__range_tree__sampling,A_alpha,1000000,1,100000,range_tree,sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a1__t100000__range_tree__sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a1__t100000__range_tree__sampling.log
A_alpha__n1000000__a1__t100000__range_tree__adaptive,A_alpha,1000000,1,100000,range_tree,adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a1__t100000__range_tree__adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a1__t100000__range_tree__adaptive.log
A_alpha__n1000000__a1__t100000__kd_tree__sampling,A_alpha,1000000,1,100000,kd_tree,sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a1__t100000__kd_tree__sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a1__t100000__kd_tree__sampling.log
A_alpha__n1000000__a3__t100000__ours__enum_sampling,A_alpha,1000000,3,100000,ours,enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__ours__enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__ours__enum_sampling.log
A_alpha__n1000000__a3__t100000__ours__sampling,A_alpha,1000000,3,100000,ours,sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__ours__sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__ours__sampling.log
A_alpha__n1000000__a3__t100000__ours__adaptive,A_alpha,1000000,3,100000,ours,adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__ours__adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__ours__adaptive.log
A_alpha__n1000000__a3__t100000__range_tree__enum_sampling,A_alpha,1000000,3,100000,range_tree,enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__range_tree__enum_sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__range_tree__enum_sampling.log
A_alpha__n1000000__a3__t100000__range_tree__sampling,A_alpha,1000000,3,100000,range_tree,sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__range_tree__sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__range_tree__sampling.log
A_alpha__n1000000__a3__t100000__range_tree__adaptive,A_alpha,1000000,3,100000,range_tree,adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__range_tree__adaptive,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__range_tree__adaptive.log
A_alpha__n1000000__a3__t100000__kd_tree__sampling,A_alpha,1000000,3,100000,kd_tree,sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a3__t100000__kd_tree__sampling,/home/dhy/PhD/SJS-2D/run/temp/exp2_synth_d2/logs/A_alpha__n1000000__a3__t100000__kd_tree__sampling.log
