# task_id\tsweep\tN\talpha\tt\tmethod\tvariant
A_alpha__n1000000__a10__t100000__range_tree__adaptive	A_alpha	1000000	10	100000	range_tree	adaptive
A_alpha__n1000000__a10__t100000__kd_tree__sampling	A_alpha	1000000	10	100000	kd_tree	sampling
A_alpha__n1000000__a30__t100000__ours__enum_sampling	A_alpha	1000000	30	100000	ours	enum_sampling
A_alpha__n1000000__a30__t100000__ours__sampling	A_alpha	1000000	30	100000	ours	sampling
A_alpha__n1000000__a30__t100000__ours__adaptive	A_alpha	1000000	30	100000	ours	adaptive
A_alpha__n1000000__a30__t100000__range_tree__enum_sampling	A_alpha	1000000	30	100000	range_tree	enum_sampling
A_alpha__n1000000__a30__t100000__range_tree__sampling	A_alpha	1000000	30	100000	range_tree	sampling
A_alpha__n1000000__a30__t100000__range_tree__adaptive	A_alpha	1000000	30	100000	range_tree	adaptive
A_alpha__n1000000__a30__t100000__kd_tree__sampling	A_alpha	1000000	30	100000	kd_tree	sampling
A_alpha__n1000000__a100__t100000__ours__enum_sampling	A_alpha	1000000	100	100000	ours	enum_sampling
A_alpha__n1000000__a100__t100000__ours__sampling	A_alpha	1000000	100	100000	ours	sampling
A_alpha__n1000000__a100__t100000__ours__adaptive	A_alpha	1000000	100	100000	ours	adaptive
A_alpha__n1000000__a100__t100000__range_tree__enum_sampling	A_alpha	1000000	100	100000	range_tree	enum_sampling
A_alpha__n1000000__a100__t100000__range_tree__sampling	A_alpha	1000000	100	100000	range_tree	sampling
A_alpha__n1000000__a100__t100000__range_tree__adaptive	A_alpha	1000000	100	100000	range_tree	adaptive
A_alpha__n1000000__a100__t100000__kd_tree__sampling	A_alpha	1000000	100	100000	kd_tree	sampling
A_alpha__n1000000__a300__t100000__ours__enum_sampling	A_alpha	1000000	300	100000	ours	enum_sampling
A_alpha__n1000000__a300__t100000__ours__sampling	A_alpha	1000000	300	100000	ours	sampling
A_alpha__n1000000__a300__t100000__ours__adaptive	A_alpha	1000000	300	100000	ours	adaptive
A_alpha__n1000000__a300__t100000__range_tree__enum_sampling	A_alpha	1000000	300	100000	range_tree	enum_sampling
A_alpha__n1000000__a300__t100000__range_tree__sampling	A_alpha	1000000	300	100000	range_tree	sampling
A_alpha__n1000000__a300__t100000__range_tree__adaptive	A_alpha	1000000	300	100000	range_tree	adaptive
A_alpha__n1000000__a300__t100000__kd_tree__sampling	A_alpha	1000000	300	100000	kd_tree	sampling
A_alpha__n1000000__a1000__t100000__ours__enum_sampling	A_alpha	1000000	1000	100000	ours	enum_sampling
A_alpha__n1000000__a1000__t100000__ours__sampling	A_alpha	1000000	1000	100000	ours	sampling
A_alpha__n1000000__a1000__t100000__ours__adaptive	A_alpha	1000000	1000	100000	ours	adaptive
A_alpha__n1000000__a1000__t100000__range_tree__enum_sampling	A_alpha	1000000	1000	100000	range_tree	enum_sampling
A_alpha__n1000000__a1000__t100000__range_tree__sampling	A_alpha	1000000	1000	100000	range_tree	sampling
A_alpha__n1000000__a1000__t100000__range_tree__adaptive	A_alpha	1000000	1000	100000	range_tree	adaptive
A_alpha__n1000000__a1000__t100000__kd_tree__sampling	A_alpha	1000000	1000	100000	kd_tree	sampling
